,Known Y/N,Solving For,Actual,Feature Type,Category,Region,color,min,mean,median,max,std,var,kurt,skew,0.1th_ptile,2.5th_ptile,5.0th_ptile,25.0th_ptile,50.0th_ptile,75.0th_ptile,95.0th_ptile,97.5th_ptile,99.9th_ptile,Distribution
HB_NORTH (DALMP),False,True,False,DayAhead Price,DALMP,north,"(0.7137254901960784, 0.7137254901960784, 0.8470588235294118, 1.0)",2.37,66.51,48.86,2100.11,89.43,7997.93,155.64,9.95,3.12,13.85,18.71,32.72,48.86,69.79,158.06,241.01,1260.44,lognorm
WZ_Coast (RTLOAD),False,False,True,Demand,RTLOAD,coast,"(0.5796078431372549, 0.7701960784313725, 0.8737254901960784, 1.0)",8749.86,13568.04,12843.12,21081.94,2853.44,8142113.73,-0.37,0.75,8914.59,9531.52,9876.3,11461.7,12843.12,15336.65,19286.96,19924.83,20961.93,gamma
WZ_ERCOT (RTLOAD),False,False,True,Demand,RTLOAD,ercot,"(0.5231372549019608, 0.73919261822376, 0.8615455594002307, 1.0)",31955.06,50359.64,47656.77,79827.91,11211.23,125691585.64,-0.38,0.72,32293.87,34240.73,35704.56,41711.21,47656.77,57233.28,72703.42,75262.05,79155.51,gamma
WZ_East (RTLOAD),False,False,True,Demand,RTLOAD,east,"(0.4666666666666667, 0.7081891580161477, 0.8493656286043829, 1.0)",828.82,1871.24,1769.64,3113.53,472.5,223259.19,-0.5,0.61,1036.44,1161.56,1232.34,1504.2,1769.64,2197.84,2782.69,2908.73,3068.72,gamma
WZ_FarWest (RTLOAD),False,False,True,Demand,RTLOAD,farwest,"(0.4120415224913495, 0.6771856978085352, 0.8362629757785467, 1.0)",3605.08,4549.59,4473.8,5519.61,370.86,137538.52,-0.69,0.39,3661.83,3965.64,4042.79,4255.65,4473.8,4839.52,5218.4,5289.73,5496.69,pearson3
WZ_North (RTLOAD),False,False,True,Demand,RTLOAD,north,"(0.37168781237985393, 0.6496270665128797, 0.8205151864667436, 1.0)",707.09,1309.81,1238.47,2216.77,316.38,100097.81,-0.23,0.75,763.41,859.35,902.43,1064.44,1238.47,1498.45,1955.09,2022.72,2186.37,pearson3
WZ_NorthCentral (RTLOAD),False,False,True,Demand,RTLOAD,northcentral,"(0.32628988850442137, 0.6186236063052672, 0.802798923490965, 1.0)",8067.61,15224.08,14211.76,27389.92,4302.81,18514199.38,-0.31,0.72,8279.09,9028.17,9545.96,11901.56,14211.76,17903.67,23838.64,24955.53,27189.76,gamma
WZ_SouthCentral (RTLOAD),False,False,True,Demand,RTLOAD,southcentral,"(0.28089196462898885, 0.5876201460976547, 0.7850826605151865, 1.0)",4832.03,8320.56,7807.2,13931.8,2174.81,4729783.95,-0.52,0.67,4861.39,5198.84,5477.84,6629.55,7807.2,9747.18,12587.66,13036.52,13692.09,pearson3
WZ_Southern (RTLOAD),False,False,True,Demand,RTLOAD,south,"(0.24004613610149955, 0.5537716262975779, 0.7667973856209152, 1.0)",2327.06,3982.3,3779.76,6296.45,933.82,872010.61,-0.7,0.53,2369.9,2575.06,2728.32,3245.8,3779.76,4653.22,5724.52,5900.69,6207.48,triang
WZ_West (RTLOAD),False,False,True,Demand,RTLOAD,west,"(0.2035063437139562, 0.5172318339100346, 0.7479738562091504, 1.0)",707.45,1534.02,1471.34,2526.78,322.95,104299.78,-0.46,0.53,800.94,1037.75,1092.78,1294.3,1471.34,1755.18,2143.55,2216.63,2458.33,gamma
WZ_Coast (BIDCLOSE_LOAD_FORECAST),True,False,False,Demand,BIDCLOSE_LOAD_FORECAST,coast,"(0.16696655132641292, 0.48069204152249134, 0.7291503267973857, 1.0)",8770.7,13543.25,12710.3,21272.4,2879.09,8289177.42,-0.32,0.79,8875.04,9457.83,9818.57,11512.9,12710.3,15273.6,19365.48,19973.35,20973.17,pearson3
WZ_ERCOT (BIDCLOSE_LOAD_FORECAST),True,False,False,Demand,BIDCLOSE_LOAD_FORECAST,ercot,"(0.13042675893886968, 0.4441522491349481, 0.710326797385621, 1.0)",30359.95,50131.07,47299.57,81430.82,11614.8,134903675.77,-0.3,0.75,31029.81,33373.9,35015.64,41479.08,47299.57,56746.57,73840.92,76002.09,80755.06,gamma
WZ_East (BIDCLOSE_LOAD_FORECAST),True,False,False,Demand,BIDCLOSE_LOAD_FORECAST,east,"(0.10249903883121878, 0.4086889657823914, 0.6828911956939638, 1.0)",1035.16,1904.29,1795.28,3586.48,481.41,231755.17,-0.25,0.7,1069.52,1186.31,1252.49,1545.53,1795.28,2195.02,2861.29,2967.91,3323.32,gamma
WZ_FarWest (BIDCLOSE_LOAD_FORECAST),True,False,False,Demand,BIDCLOSE_LOAD_FORECAST,farwest,"(0.07481737793156479, 0.3732564398308343, 0.6552095347943099, 1.0)",3117.0,4492.57,4406.02,5505.31,384.62,147933.09,-0.32,0.52,3406.34,3915.42,3992.85,4202.62,4406.02,4762.62,5237.75,5331.56,5475.76,gamma
WZ_North (BIDCLOSE_LOAD_FORECAST),True,False,False,Demand,BIDCLOSE_LOAD_FORECAST,north,"(0.05021145713187236, 0.341760861207228, 0.6306036139946175, 1.0)",354.99,1304.42,1239.11,2737.02,346.31,119931.83,0.38,0.69,376.6,788.55,842.75,1062.68,1239.11,1493.23,1979.08,2046.86,2679.97,lognorm
WZ_NorthCentral (BIDCLOSE_LOAD_FORECAST),True,False,False,Demand,BIDCLOSE_LOAD_FORECAST,northcentral,"(0.03137254901960784, 0.3059746251441753, 0.5944329104190696, 1.0)",7821.29,15235.43,14118.1,28463.2,4486.3,20126885.84,-0.26,0.76,8028.45,8848.18,9343.97,11879.3,14118.1,17888.6,24177.86,25330.64,28074.82,gamma
WZ_SouthCentral (BIDCLOSE_LOAD_FORECAST),True,False,False,Demand,BIDCLOSE_LOAD_FORECAST,southcentral,"(0.03137254901960784, 0.26943483275663205, 0.5401768550557479, 1.0)",4220.47,8201.05,7680.79,14566.1,2248.75,5056859.18,-0.42,0.68,4328.88,4927.59,5279.01,6478.05,7680.79,9580.63,12669.0,13117.73,14288.01,pearson3
WZ_Southern (BIDCLOSE_LOAD_FORECAST),True,False,False,Demand,BIDCLOSE_LOAD_FORECAST,south,"(0.03137254901960784, 0.23289504036908892, 0.4859207996924262, 1.0)",2223.62,3929.68,3723.27,6757.03,950.24,902954.33,-0.65,0.54,2275.73,2491.79,2613.68,3189.51,3723.27,4600.19,5718.7,5894.74,6415.71,triang
WZ_West (BIDCLOSE_LOAD_FORECAST),True,False,False,Demand,BIDCLOSE_LOAD_FORECAST,west,"(0.03137254901960784, 0.19635524798154555, 0.4316647443291042, 1.0)",891.37,1520.37,1447.0,2654.53,335.23,112378.75,-0.46,0.61,930.38,1032.94,1072.18,1259.96,1447.0,1748.15,2158.99,2209.25,2566.72,weibull_min
Katy (GASPRICE),True,False,False,Fuel Price,GASPRICE,None,"(0.753610618, 0.830232851, 0.960871157, 1.0)",3.4,6.03,6.2,9.33,1.62,2.63,-1.34,0.04,3.4,3.6,3.66,4.39,6.2,7.59,8.23,8.75,9.33,beta
Henry (GASPRICE),True,False,False,Fuel Price,GASPRICE,None,"(0.717434544917647, 0.05111754842352939, 0.15873660770196077, 1.0)",3.58,6.31,6.4,9.45,1.64,2.69,-1.32,0.08,3.58,3.78,3.92,4.74,6.4,7.86,8.67,9.0,9.45,beta
ERCOT (TOTAL_RESOURCE_CAP_OUT),True,False,False,Outages,TOTAL_RESOURCE_CAP_OUT,resource,"(0.7105882352941176, 0.7105882352941176, 0.7105882352941176, 1.0)",3697.0,12264.41,9319.0,25631.0,6937.88,48134173.04,-1.15,0.63,3856.16,4393.0,4690.0,6460.0,9319.0,18936.0,24501.2,25037.0,25565.2,invgauss
HB_NORTH (RTLMP),False,True,False,Rt Price,RTLMP,north,"(0.9874509803921568, 0.5411764705882353, 0.41568627450980394, 1.0)",-29.7,65.94,43.5,5365.85,202.4,40965.69,360.44,17.2,-21.64,4.58,11.25,26.4,43.5,65.97,112.12,195.13,3480.64,lognorm
ERCOT (GENERATION_SOLAR_RT),False,False,True,Solar,GENERATION_SOLAR_RT,solar,"(0.9921568627450981, 0.6564705882352941, 0.3827450980392157, 1.0)",-0.64,2865.48,409.17,9702.52,3410.83,11633792.06,-1.2,0.67,-0.29,0.03,0.07,0.11,409.17,6187.2,8878.12,9178.74,9669.21,gamma
ERCOT (SOLAR_STPPF_BIDCLOSE),True,False,False,Solar,SOLAR_STPPF_BIDCLOSE,stppf,"(0.5076355247981545, 0.1566320645905421, 0.015440215301806996, 1.0)",0.0,3266.95,430.7,10020.3,3790.18,14365445.62,-1.47,0.53,0.0,0.0,0.0,0.0,430.7,7356.8,9397.24,9625.81,9971.43,
GR_COASTAL (WINDDATA),False,False,True,Wind,WINDDATA,coast,"(0.596078431372549, 0.8345098039215686, 0.5788235294117646, 1.0)",0.0,1800.16,1747.19,3948.05,1142.21,1304652.98,-1.3,0.07,0.51,37.29,106.79,761.52,1747.19,2882.09,3546.15,3662.56,3898.64,beta
GR_ERCOT (WINDDATA),False,False,True,Wind,WINDDATA,ercot,"(0.5462514417531719, 0.8112572087658593, 0.5378546712802768, 1.0)",307.6,13577.02,13898.39,26859.39,6440.08,41474663.09,-1.09,-0.13,392.5,1958.94,2982.11,8157.66,13898.39,19118.08,23180.07,23956.94,26181.7,beta
GR_NORTH (WINDDATA),False,False,True,Wind,WINDDATA,north,"(0.4908881199538639, 0.7854209919261823, 0.49233371780084584, 1.0)",-0.69,1012.76,983.42,2213.84,639.48,408939.65,-1.3,0.07,-0.5,39.57,71.21,427.22,983.42,1603.6,1993.47,2063.6,2200.3,beta
GR_PANHANDLE (WINDDATA),False,False,True,Wind,WINDDATA,panhandle,"(0.4392156862745098, 0.7609381007304883, 0.45505574778931185, 1.0)",0.27,2004.37,2122.65,4034.66,1132.69,1282989.28,-1.24,-0.17,3.45,89.05,177.8,970.35,2122.65,2991.61,3593.83,3730.5,3991.28,uniform
GR_SOUTH (WINDDATA),False,False,True,Wind,WINDDATA,south,"(0.3764705882352941, 0.7301806997308727, 0.42429834678969625, 1.0)",-0.78,1655.79,1722.51,3345.82,887.71,788032.41,-1.11,-0.11,3.94,110.09,205.37,895.57,1722.51,2358.15,3003.84,3130.14,3292.36,beta
GR_WEST (WINDDATA),False,False,True,Wind,WINDDATA,west,"(0.31999999999999995, 0.7024990388312188, 0.3966166858900423, 1.0)",1.13,7103.94,7339.88,14504.82,4021.95,16176065.12,-1.26,-0.11,28.01,406.51,762.83,3471.55,7339.88,10742.34,12962.9,13340.74,14218.54,uniform
ERCOT (WIND_STWPF_BIDCLOSE),True,False,False,Wind,WIND_STWPF_BIDCLOSE,stwpf,"(0.25725490196078427, 0.6717416378316032, 0.36585928489042674, 1.0)",429.0,14229.14,13964.8,30451.8,7157.91,51235706.4,-0.95,0.16,740.02,2265.01,3288.18,8306.8,13964.8,19878.3,26348.66,27624.59,29886.23,beta
GR_COASTAL (WIND_STWPF_BIDCLOSE),True,False,False,Wind,WIND_STWPF_BIDCLOSE,coast,"(0.22306805074971164, 0.636632064590542, 0.3392387543252595, 1.0)",5.6,1930.38,1707.6,4708.3,1293.64,1673517.31,-1.08,0.33,16.26,76.09,143.0,839.7,1707.6,3007.1,4176.46,4338.48,4676.38,beta
GR_ERCOT (WIND_STWPF_BIDCLOSE),True,False,False,Wind,WIND_STWPF_BIDCLOSE,ercot,"(0.18985005767012686, 0.601199538638985, 0.3126643598615917, 1.0)",429.0,14229.12,13964.8,30451.8,7157.89,51235425.35,-0.95,0.16,740.02,2265.01,3288.18,8306.8,13964.8,19878.3,26348.66,27624.52,29886.23,beta
GR_NORTH (WIND_STWPF_BIDCLOSE),True,False,False,Wind,WIND_STWPF_BIDCLOSE,north,"(0.15294117647058825, 0.5618300653594771, 0.28313725490196073, 1.0)",0.2,1020.03,968.5,2295.2,647.32,419020.23,-1.27,0.17,4.82,58.2,104.38,424.8,968.5,1597.7,2044.62,2119.47,2264.62,beta
GR_PANHANDLE (WIND_STWPF_BIDCLOSE),True,False,False,Wind,WIND_STWPF_BIDCLOSE,panhandle,"(0.11680123029604011, 0.5275663206459055, 0.25597846981930034, 1.0)",8.4,2057.01,2127.2,4083.0,1148.77,1319683.83,-1.22,-0.06,18.4,157.83,249.1,1020.2,2127.2,3040.3,3801.4,3870.07,4048.11,uniform
GR_SOUTH (WIND_STWPF_BIDCLOSE),True,False,False,Wind,WIND_STWPF_BIDCLOSE,south,"(0.07374086889657824, 0.49065743944636675, 0.22522106881968473, 1.0)",15.7,1759.44,1715.4,3844.4,977.75,955987.58,-1.02,0.15,30.38,184.98,282.82,930.2,1715.4,2524.7,3387.26,3566.67,3794.56,beta
GR_WEST (WIND_STWPF_BIDCLOSE),True,False,False,Wind,WIND_STWPF_BIDCLOSE,west,"(0.034986543637062675, 0.45743944636678197, 0.19753940792003075, 1.0)",83.2,7462.26,7321.8,16371.4,4372.55,19119193.23,-1.12,0.12,177.92,554.09,914.16,3689.4,7321.8,11053.9,14627.24,15285.2,16240.88,beta
NORTH (ERCOT) (WIND_STWPF_BIDCLOSE),True,False,False,Wind,WIND_STWPF_BIDCLOSE,stwpf,"(0.0, 0.41799307958477505, 0.16862745098039217, 1.0)",0.2,1075.51,1039.4,2400.6,671.06,450323.83,-1.26,0.14,5.08,62.3,114.98,460.4,1039.4,1677.3,2139.64,2233.29,2387.91,beta
SOUTH_HOUSTON (WIND_STWPF_BIDCLOSE),True,False,False,Wind,WIND_STWPF_BIDCLOSE,houston,"(0.0, 0.37259515570934254, 0.14980392156862746, 1.0)",47.2,3645.02,3396.4,8311.6,2072.11,4293626.5,-1.06,0.25,87.71,452.66,657.4,1907.1,3396.4,5380.3,7163.54,7482.43,8128.7,beta
WEST (ERCOT) (WIND_STWPF_BIDCLOSE),True,False,False,Wind,WIND_STWPF_BIDCLOSE,stwpf,"(0.0, 0.3221530180699732, 0.12888888888888894, 1.0)",190.0,9508.61,9366.3,20413.1,5308.23,28177356.08,-1.09,0.12,289.68,965.1,1496.74,4940.7,9366.3,13831.0,18288.98,18957.86,20174.26,beta
WEST_NORTH (WIND_STWPF_BIDCLOSE),True,False,False,Wind,WIND_STWPF_BIDCLOSE,north,"(0.0, 0.2767550941945406, 0.11006535947712418, 1.0)",292.2,10584.12,10359.0,22691.0,5906.54,34887182.98,-1.11,0.12,355.23,1135.96,1712.74,5495.8,10359.0,15479.8,20333.44,21057.06,22445.45,beta
